code,province_code,name,latitude,longitude,population
29046,29,"Cortes de la Frontera",36.576005,-5.431093,3048
29047,29,"Cuevas Bajas",37.226408,-4.475505,1341
29048,29,"Cuevas del Becerro",36.873105,-5.046433,1617
29049,29,"Cuevas de San Marcos",37.252308,-4.420561,3647
29050,29,Cútar,36.862173,-4.225932,603
29051,29,Estepona,36.466562,-5.140871,79621
29052,29,Faraján,36.605182,-5.197672,285
29053,29,Frigiliana,36.80493,-3.895532,3383
29054,29,Fuengirola,36.558237,-4.614742,85211
29055,29,"Fuente de Piedra",37.123415,-4.755059,3045
29056,29,Gaucín,36.501038,-5.347591,1620
29057,29,Genalguacil,36.524456,-5.224086,352
29058,29,Guaro,36.673907,-4.83985,2638
29059,29,Humilladero,37.13526,-4.690908,3373
29060,29,Igualeja,36.621786,-5.094786,733
29061,29,Istán,36.600396,-4.963796,1707
29062,29,Iznate,36.783939,-4.191572,940
29063,29,"Jimera de Líbar",36.656985,-5.278121,399
29064,29,Jubrique,36.560919,-5.204024,585
29065,29,Júzcar,36.591601,-5.161419,208
29066,29,Macharaviaya,36.769841,-4.222223,518
29067,29,Málaga,36.767616,-4.423943,603144
29068,29,Manilva,36.352726,-5.261744,18165
29069,29,Marbella,36.514415,-4.876387,159786
29070,29,Mijas,36.559839,-4.68466,95104
29071,29,Moclinejo,36.766812,-4.259297,1222
29072,29,Mollina,37.143457,-4.647185,5528
29073,29,Monda,36.62779,-4.854123,2984
29074,29,Montejaque,36.728085,-5.285599,945
29075,29,Nerja,36.785857,-3.830015,22132
29076,29,Ojén,36.566338,-4.838182,4755
29077,29,Parauta,36.666552,-5.082979,271
29079,29,Periana,36.932309,-4.193557,3367
29080,29,Pizarra,36.765908,-4.707153,10334
29081,29,Pujerra,36.586302,-5.129623,285
29082,29,"Rincón de la Victoria",36.730453,-4.270112,52454
29083,29,Riogordo,36.923029,-4.279284,2839
29084,29,Ronda,36.777762,-5.128541,33671
29085,29,Salares,36.858699,-4.014739,194
29086,29,Sayalonga,36.795632,-4.0092,1672
29087,29,Sedella,36.863386,-4.044746,607
29088,29,"Sierra de Yeguas",37.144947,-4.856063,3418
29089,29,Teba,36.978044,-4.926915,3708
29090,29,Tolox,36.677824,-4.942101,2468
29091,29,Torrox,36.764503,-3.954094,23
29092,29,Totalán,36.75956,-4.295023,797
29093,29,"Valle de Abdalajís",36.938946,-4.674339,2439
29094,29,Vélez-Málaga,36.772655,-4.134817,86048
29095,29,"Villanueva de Algaidas",37.188527,-4.417449,4084
29096,29,"Villanueva del Rosario",37.008482,-4.367602,3470
29097,29,"Villanueva del Trabuco",37.040184,-4.319566,5521
29098,29,"Villanueva de Tapia",37.181374,-4.341965,1391
29099,29,Viñuela,36.867193,-4.163521,2044
29100,29,Yunquera,36.734768,-4.937858,2828
29901,29,Torremolinos,36.625987,-4.515752,71329
29902,29,"Villanueva de la Concepción",36.929328,-4.527979,3296
29903,29,Montecorto,36.821457,-5.293242,585
29904,29,Serrato,36.860509,-4.991332,457
30001,30,Abanilla,38.254955,-1.051719,6256
30002,30,Abarán,38.253395,-1.321203,13228
30003,30,Águilas,37.467979,-1.590144,37811
30004,30,Albudeite,38.029541,-1.382685,1395
30005,30,Alcantarilla,37.971798,-1.231819,43876
30006,30,Aledo,37.79095,-1.616523,1123
30007,30,Alguazas,38.057428,-1.272994,10431
30008,30,"Alhama de Murcia",37.822345,-1.387426,24163
30009,30,Archena,38.111644,-1.29517,20908
30010,30,Beniel,38.026893,-0.991956,11582
30011,30,Blanca,38.212923,-1.2974,6882
30012,30,Bullas,38.041123,-1.673238,12027
30013,30,Calasparra,38.237295,-1.656271,10391
30014,30,"Campos del Río",38.05065,-1.366889,2159
30015,30,"Caravaca de la Cruz",38.006945,-2.026669,26126
30016,30,Cartagena,37.638691,-0.989642,220704
30017,30,Cehegín,38.075762,-1.746337,14506
30018,30,Ceutí,38.085934,-1.281158,13089
30019,30,Cieza,38.273839,-1.469831,35577
30020,30,Fortuna,38.203204,-1.13607,11437
30021,30,"Fuente Álamo de Murcia",37.732268,-1.213926,19171
30022,30,Jumilla,38.469203,-1.309809,27574
30023,30,Librilla,37.905039,-1.340684,5854
30024,30,Lorca,37.699034,-1.75448,98969
30025,30,Lorquí,38.101254,-1.250839,7946
30026,30,Mazarrón,37.620771,-1.352296,35449
30027,30,"Molina de Segura",38.122725,-1.199338,78458
30028,30,Moratalla,38.198807,-1.991117,7518
30029,30,Mula,38.008487,-1.5405,17937
30030,30,Murcia,37.921675,-1.107154,479405
30031,30,Ojós,38.106576,-1.361476,548
30032,30,Pliego,37.977472,-1.503767,4003
30033,30,"Puerto Lumbreras",37.547235,-1.81623,18006
30034,30,Ricote,38.149261,-1.43642,1197
30035,30,"San Javier",37.809836,-0.837646,36524
30036,30,"San Pedro del Pinatar",37.833514,-0.789545,29674
30037,30,Torre-Pacheco,37.777489,-0.966935,41479
30038,30,"Las Torres de Cotillas",38.021031,-1.268213,22676
30039,30,Totana,37.777494,-1.527235,33358
30040,30,Ulea,38.16409,-1.287415,926
30041,30,"La Unión",37.613334,-0.880095,21380
30042,30,"Villanueva del Río Segura",38.10045,-1.323066,4111
30043,30,Yecla,38.606373,-1.150803,36453
30901,30,Santomera,38.085726,-1.056701,16443
30902,30,"Los Alcázares",37.743348,-0.865434,20408
31001,31,Abáigar,42.643774,-2.137896,74
31002,31,Abárzuza,42.752528,-2.04046,510
31003,31,Abaurregaina,42.897094,-1.200723,121
31004,31,Abaurrepea,42.911533,-1.208553,30
31005,31,Aberin,42.614859,-1.989231,410
31006,31,Ablitas,41.961315,-1.585734,2657
31007,31,Adiós,42.693964,-1.735688,194
31008,31,"Aguilar de Codés",42.610851,-2.384775,74
31009,31,Aibar,42.592615,-1.354647,754
31010,31,Altsasu,42.913186,-2.182979,7717
31011,31,Allín,42.711714,-2.082316,881
31012,31,Allo,42.541147,-2.011003,1028
31013,31,"Améscoa Baja",42.772681,-2.126919,729
31014,31,Ancín,42.664802,-2.187241,363
31015,31,Andosilla,42.383771,-1.946451,2925
31016,31,Ansoáin,42.837417,-1.644067,10663
31017,31,Anue,42.971216,-1.588786,501
31018,31,Añorbe,42.637328,-1.727435,622
31019,31,Aoiz,42.787754,-1.357197,3083
31020,31,Araitz,43.034095,-2.001382,506
31021,31,Aranarache,42.770908,-2.231163,70
31022,31,Arantza,43.191425,-1.739617,628
31023,31,Aranguren,42.773412,-1.570397,13216
31024,31,Arano,43.195889,-1.897618,108
31025,31,Arakil,42.91038,-1.867835,990
31026,31,Aras,42.5666,-2.359213,150
31027,31,Arbizu,42.931822,-2.03983,1107
31028,31,Arce,42.875079,-1.348547,290
31029,31,"Los Arcos",42.544037,-2.189256,1177
31030,31,Arellano,42.577408,-2.06158,165
31031,31,Areso,43.078744,-1.955477,260
31032,31,Arguedas,42.186717,-1.572655,2309
31033,31,Aria,42.967384,-1.275462,51
31034,31,Aribe,42.942076,-1.264786,34
31035,31,Armañanzas,42.544056,-2.288245,47
31036,31,Arróniz,42.552129,-2.105179,1064
31037,31,Arruazu,42.933105,-2.003517,121
31038,31,Artajona,42.582781,-1.759297,1783
31039,31,Artazu,42.686624,-1.840889,125
31040,31,Atez,42.947113,-1.712537,227
31041,31,Ayegui,42.648758,-2.046997,2589
31042,31,Azagra,42.2991,-1.874348,3746
31043,31,Azuelo,42.606119,-2.350911,29
31044,31,Bakaiku,42.907351,-2.108175,342
31045,31,Barásoain,42.612322,-1.671257,601
31046,31,Barbarin,42.58155,-2.132837,46
31047,31,Bargota,42.534865,-2.307863,237
31048,31,Barillas,41.971104,-1.662663,240
31049,31,Basaburua,43.026243,-1.805604,819
31050,31,Baztan,43.159152,-1.506101,7851
31051,31,Beire,42.463572,-1.598493,274
31052,31,Belascoáin,42.750167,-1.829936,124
31053,31,Berbinzana,42.519318,-1.841195,670
31054,31,Bertizarana,43.144226,-1.618587,668
31055,31,Betelu,43.016002,-1.975814,375
31056,31,Biurrun-Olcoz,42.677228,-1.677627,227
31057,31,Buñuel,41.973017,-1.452292,2318
31058,31,Auritz,42.990471,-1.338042,235
31059,31,Burgui,42.736908,-0.995323,187
31060,31,Burlada,42.824303,-1.616234,21280
31061,31,"El Busto",42.539667,-2.238128,55
31062,31,Cabanillas,42.047787,-1.52299,1373
31063,31,Cabredo,42.634874,-2.424726,73
31064,31,Cadreita,42.226745,-1.68494,2187
31065,31,Caparroso,42.3241,-1.657677,2882
31066,31,Cárcar,42.414005,-1.981778,1156
31067,31,Carcastillo,42.352504,-1.413675,2408
31068,31,Cascante,42.011645,-1.708129,4231
31069,31,Cáseda,42.471036,-1.366163,912
31070,31,Castejón,42.155899,-1.679532,4725
31071,31,Castillonuevo,42.66647,-1.069167,14
31072,31,Cintruénigo,42.065882,-1.794197,8565
31073,31,Ziordia,42.883653,-2.229215,359
